"T(P,V/N)-b1","T(P,V/N)-b2","T(P,V/N)-a","T(P,V/N)-R2",T(V/N)-b,T(V/N)-a,T(V/N)-R2,P(V)-slope,P(V)-a,P(V)-R2,Wp(WT)-slope,Wp(WT)-a,Wp(WT)-R2,T(P)-slope,T(P)-a,T(P)-R2,T-m,T-slope,T-R2,P-m,P-slope,P-R2,V-m,V-slope,V-R2,Vs-m,Vs-slope,Vs-R2,TN-m,TN-slope,TN-R2,PV-m,PV-slope,PV-R2,V/N-m,V/N-slope,V/N-R2,N-m,Ns-m,I-m,V0-m,V/Vs-min,V/Vs-max,V/Vs-m,V/Vs-std,T/P-min,T/P-max,T/P-m,T/P-std,Tpi-min,Tpi-max,Tpi-m,Tpi-std,Fpi-min,Fpi-max,Fpi-m,Fpi-std,Tpi-slope,Tpi-R2:1-sse/sst,WT/WP-slope,WT/WP-R2:1-sse/sst,T(P*V/N)-slope,T(P*V/N)-a,T(P*V/N)-R2,Fpi,P*V/N,T/P,Tpi,dt,dz,workP,workT,Total T,Total F,RPM,Pr,p,Chainage
0.141783934,156.8224212,-893.811335,0.965540739,196.9785775,-66.65232175,0.912954969,57.53842945,5470.466125,0.503283992,57.77381824,-112723.3416,0.947490516,0.373853814,-1127.953276,0.62940398,2354.59781,15.93436668,0.427201859,9315.274998,38.75540008,0.56117991,66.82158186,0.377373002,0.350011416,2659.690357,17.70985676,0.39361449,12809.60974,95.25893363,0.489489196,627336.7233,5766.236057,0.509130652,12.29194648,0.060611814,0.262704018,5.43884677,7163.383692,56.70862386,75.79605118,0.023891578,0.029394988,0.025243762,0.000979896,0.128642327,0.282264028,0.25180313,0.029006262,169.3865855,204.0895516,191.4064585,8.299273098,634.3992444,1500.626692,775.0758979,139.8876685,191.6586795,0.91227622,0.020284786,0.892488774,0.016234608,482.2981973,0.947996021,743.9501981,122522.0984,0.262011338,194.8030291,17.33333333,1221.271973,671863.8079,13704.23293,2499.101907,9544.243788,5.483692307,85.29506964,12.82673055,71067.22041
0.097825397,217.0421161,-831.0072928,0.972322461,249.0531631,17.87344071,0.970034152,59.54897896,8664.770822,0.875185801,59.42872364,-131564.657,0.960394041,0.678225583,-5525.168407,0.880270139,3161.049598,34.0970625,0.524913147,12807.26976,32.17977843,0.244316042,69.56456706,0.743689179,0.528709586,3050.456557,26.48548133,0.502388451,17423.71889,187.3045705,0.524400555,903904.7177,10751.15717,0.469822126,12.62050286,0.135394155,0.529237307,5.51335371,7271.506975,62.91955026,113.7509139,0.014640268,0.025171655,0.022586174,0.001780768,0.098104807,0.280796393,0.244041423,0.043196054,229.7304161,273.8572688,250.4811216,10.30865302,863.696816,2791.476561,1079.960493,333.3795744,250.4080268,0.970004145,0.019092214,0.926803327,0.016171197,509.0611328,0.960574357,960.4934912,183401.0387,0.263152102,252.2061716,8.5,651.0219727,1010590.588,19192.69274,3483.009065,13227.73889,5.510516234,118.2776774,13.8378896,71064.2737
0.26890975,131.4419852,-1799.604001,0.981649624,244.4175353,79.14693598,0.958671082,76.87756462,6971.76297,0.898663259,61.20095273,-201972.8329,0.979097259,0.550214952,-3602.110896,0.953682788,3081.098646,23.51785401,0.306110875,12146.54293,41.41452813,0.301335047,67.31196533,0.422115497,0.205877578,2773.466455,23.85284567,0.462059681,16885.95476,128.4436407,0.306017115,831463.6863,7174.054504,0.249551,12.28206359,0.077378516,0.206499625,5.48170467,7230.362126,61.56643471,79.92963406,0.00705275,0.03102887,0.024450917,0.002841824,0.148876052,0.279110833,0.250745527,0.034781896,229.5640385,412.1269952,252.2882259,24.44034876,830.6281693,2609.178589,1036.263746,271.7638584,250.6136255,0.958030336,0.020056574,0.912170804,0.0160179,650.8403756,0.979241839,937.5990106,170957.0844,0.269611044,252.6797373,16,1187.170667,936605.3142,18691.90007,3411.802564,12656.48648,5.478610447,95.03519807,13.50814462,71063.46761
0.190744139,211.5176157,-1921.24603,0.94000852,274.4127127,-382.7637711,0.927487341,60.39454095,8049.084182,0.794752073,53.30832011,-55476.91898,0.919312234,0.701072809,-5510.495581,0.827347478,2960.769299,18.69414131,0.605534438,12083.28831,24.16026494,0.600854737,66.79749635,0.371500055,0.65199996,2646.431151,18.07035956,0.759730148,16231.47379,102.0194799,0.604392072,809795.6817,6074.392155,0.693156413,12.18432279,0.068128694,0.652962738,5.482557327,7230.943463,62.39917433,66.79749635,0.01715116,0.030867505,0.025316014,0.001706351,0.117849855,0.270469549,0.244360245,0.022684612,180.702603,254.3789919,242.4423697,11.14171576,896.4171389,1533.32902,1000.246096,92.97519908,243.3084169,0.915452251,0.019997387,0.895501892,0.017252389,412.3360367,0.919962054,980.7346032,151399.9143,0.250423213,245.3146879,13.83333333,942.9092285,829908.7973,16714.08508,3049.132128,12168.53503,5.481661514,68.13528422,12.42982829,71062.49734
0.257625712,132.0995298,-1896.258779,0.979029691,243.3198268,-74.49267973,0.96594308,67.56490014,7302.898465,0.910401122,55.52273902,-89875.76676,0.976172449,0.544982114,-3845.584916,0.961692605,2426.323935,23.18192234,0.502318321,11508.46732,35.63854334,0.366647085,62.2448764,0.638005481,0.589205321,2720.441643,22.42554031,0.574991396,14695.5896,155.4122938,0.57344964,726063.6194,8719.582875,0.571611219,10.27789904,0.094770654,0.51455446,6.045977582,7961.118676,60.41131963,62.2448764,0.016914948,0.025825384,0.022692391,0.001521007,0.093157251,0.229856333,0.208584937,0.031730994,211.3497532,261.9655722,235.4852487,9.325968629,935.5659192,2424.410205,1166.66964,265.8906128,236.3130825,0.965114524,0.020107365,0.954965438,0.017437307,336.4255708,0.974820992,1067.959244,131657.3145,0.222712272,237.7770473,13.66666667,926.9234375,801245.2568,16071.87705,2640.376669,11855.66813,6.085723825,67.5821317,11.10442466,71043.61248
0.219133568,98.80622411,-1151.147734,0.989895072,234.3283904,-345.5598688,0.968034269,106.7351944,4610.339138,0.946556342,57.29902059,-75048.20422,0.98852895,0.368794562,-1641.43178,0.979009787,1900.802173,17.57234697,0.525279147,9604.897476,50.90581584,0.612417239,46.79392179,0.455670545,0.590586256,1741.02362,22.02493663,0.609333656,9290.101306,107.4777211,0.619175873,457265.5018,6213.120202,0.623005145,9.586384465,0.07020607,0.475596916,4.855460556,6390.916203,56.67143396,46.79392179,0.025297236,0.035775453,0.02747014,0.002747438,0.13125577,0.211432127,0.19591214,0.021400109,142.1897991,213.7112248,197.0871882,11.23607898,936.5928894,1239.962704,1014.378181,87.06019339,199.1085739,0.945652395,0.020138517,0.959150585,0.016729546,338.0789242,0.983641259,976.8166601,104396.2745,0.205714006,200.9253315,21.33333333,1099.85813,521910.5419,10381.51931,2076.79804,10096.35949,4.998775397,51.68929147,10.33983335,71025.74328
0.087108849,174.1575078,-579.1527937,0.953836324,200.5144515,15.54130733,0.93208075,60.35204958,6820.701348,0.425048617,55.66795735,-71463.98715,0.940196601,0.331946448,-1308.606669,0.549787796,1903.072654,13.91845898,0.441541006,9675.293544,3.860506388,0.00680798,47.29900999,0.361446003,0.511401484,1764.383697,16.44321644,0.393881574,9562.170673,69.73564316,0.441359357,460842.5221,3329.568701,0.305257809,9.413442936,0.072135344,0.511590843,5.025090173,6615.341706,55.58832678,47.29900999,0.024302179,0.047024804,0.027755298,0.004968799,0.131978756,0.234587324,0.195933156,0.025903775,158.6657167,232.2125908,202.2767711,9.831406572,823.5450129,1620.307834,1053.824215,176.440854,202.1268784,0.932019037,0.020616592,0.892776794,0.016904336,352.6285449,0.940486696,998.1984841,100884.9617,0.204484216,203.9076261,24.83333333,1255.741895,506806.7055,10299.68101,2050.257337,10033.15641,5.023617091,50.52590856,10.05768083,71024.79807
-0.098577299,370.9752847,-626.5249371,0.890172601,336.507191,-1416.834478,0.868089442,58.06472584,8038.162262,0.288377573,37.54569302,318331.2721,0.619928004,0.21122678,320.856393,0.143209534,2979.118087,21.04818061,0.440195037,12584.8706,-20.79181421,0.133821784,78.30413863,0.249899971,0.226015244,3403.656256,6.831195892,0.245280754,17857.10281,126.4485214,0.442721421,988788.5723,1111.468005,0.015042429,13.06347288,0.041506032,0.223286611,5.994243859,7899.360745,64.39575259,78.40736417,0.016872215,0.024387423,0.022944108,0.001194369,0.120416212,0.273523289,0.236727116,0.036774528,169.0148931,247.9571764,226.6044623,19.75998386,846.7513512,1483.004138,972.3086169,107.4586031,229.0610932,0.778753362,0.018032959,0.614570682,0.01649221,258.4985341,0.620702213,929.9845754,170453.895,0.254147687,235.6604154,37.16666667,3006.805566,1021627.725,19115.77214,3189.278291,12589.06784,5.993737672,81.30369762,13.53610518,71008.54817
0.03934469,139.1632675,-241.5106634,0.977450392,145.0552501,12.84617188,0.976927506,25.03496526,6461.145054,0.75542148,65.11476787,-77714.91217,0.970346032,0.741007084,-4315.539885,0.757202256,1979.273342,13.2233364,0.336877379,8494.94338,18.04786249,0.455065723,81.23831229,0.543601168,0.342521626,3442.39518,24.7004814,0.386813354,11861.02091,79.15131245,0.337159867,694612.7112,5670.995765,0.396100982,13.55640122,0.090817155,0.342239485,5.993063039,7888.920474,59.70213364,81.23831229,0.022356121,0.025022891,0.023618653,0.000560326,0.119217574,0.259523221,0.231793383,0.033534134,137.0340822,155.3750078,146.0430728,3.719152986,553.7677746,1291.516125,649.9517994,145.2775907,145.9776693,0.976886923,0.017002139,0.950400277,0.014907996,251.2513563,0.970410843,593.5389672,123866.2805,0.244945161,145.3096297,14.5,1254.749609,742194.5176,12575.85359,2098.811983,8572.204062,5.991897849,86.58672093,14.45064214,70989.86436
0.048510608,123.7859045,-223.4064016,0.984942809,143.5179774,-103.867803,0.97957819,66.66767775,2459.258835,0.774988073,68.15206484,-126972.4085,0.930308486,0.28447277,-476.4439907,0.821244959,1591.184542,13.27480098,0.391972346,7268.282778,56.82439119,0.707746383,72.13426514,0.52617606,0.348021345,3128.162641,20.71038115,0.378713755,9718.112221,80.95605574,0.3916965,535337.0057,6996.721232,0.58601549,11.81073184,0.086305909,0.348380594,6.108059411,8031.990465,57.78071885,72.13426514,0.018420813,0.024707253,0.022900962,0.001157305,0.08685814,0.246267893,0.216730379,0.029054907,101.5796967,140.8814723,134.0315974,6.157857447,530.8460769,1169.489664,633.110986,115.1225438,134.9956494,0.97601377,0.017895571,0.834875485,0.013656781,394.1012965,0.930442632,613.8257673,97563.38952,0.222206865,136.0826766,17.83333333,1373.775732,595800.1326,10473.47709,1715.050434,7737.518946,6.106806689,76.98609191,12.60660015,70986.05731
