"T(P,V/N)-b1","T(P,V/N)-b2","T(P,V/N)-a","T(P,V/N)-R2",T(V/N)-b,T(V/N)-a,T(V/N)-R2,P(V)-slope,P(V)-a,P(V)-R2,Wp(WT)-slope,Wp(WT)-a,Wp(WT)-R2,T(P)-slope,T(P)-a,T(P)-R2,T-m,T-slope,T-R2,P-m,P-slope,P-R2,V-m,V-slope,V-R2,Vs-m,Vs-slope,Vs-R2,TN-m,TN-slope,TN-R2,PV-m,PV-slope,PV-R2,V/N-m,V/N-slope,V/N-R2,N-m,Ns-m,I-m,V0-m,V/Vs-min,V/Vs-max,V/Vs-m,V/Vs-std,T/P-min,T/P-max,T/P-m,T/P-std,Tpi-min,Tpi-max,Tpi-m,Tpi-std,Fpi-min,Fpi-max,Fpi-m,Fpi-std,Tpi-slope,Tpi-R2:1-sse/sst,WT/WP-slope,WT/WP-R2:1-sse/sst,T(P*V/N)-slope,T(P*V/N)-a,T(P*V/N)-R2,Fpi,P*V/N,T/P,Tpi,dt,dz,workP,workT,Total T,Total F,RPM,Pr,p,Chainage
0.464151156,47.09039631,-3851.520394,0.894745835,190.1193309,547.0205844,0.475993486,61.78174011,9478.023051,0.388746455,48.59779872,63380.94135,0.662253604,0.523975792,-4108.406627,0.87697588,2604.06396,8.36043992,0.090033792,12810.6502,16.27833474,0.106856767,53.94194366,0.006792032,0.000182657,2290.005608,-7.64009813,0.202668229,12982.06692,41.57229709,0.090056365,694280.8165,748.8470638,0.00819377,10.81974866,0.001499736,0.000220003,4.985803994,6568.551023,59.37851674,53.94194366,0.01635744,0.028633571,0.023597839,0.002441914,0.09626817,0.238303471,0.202125592,0.024045518,112.4494455,300.6833436,241.6701762,32.61716866,950.3641105,1611.188881,1201.079499,142.2529749,239.7738883,0.442934155,0.018552941,0.573169395,0.013649701,703.1508503,0.664312064,1184.69322,148021.4741,0.212159837,250.2387799,3,174.5515503,737808.9691,13926.33862,2793.899552,13155.14237,4.984685798,55.96674957,11.2281114,71126.9111
0.34734615,34.54650952,-3067.870164,0.356540747,5.063798939,3279.252133,0.000259286,-14.57755934,18293.14669,0.025277314,11.07323173,843563.089,0.04039536,0.337547124,-2542.913505,0.344763319,3331.204254,4.396327209,0.157007848,17402.36354,2.800254143,0.021051547,61.10646729,-0.00367981,0.000305618,2382.612826,0.007768536,0.389196829,19840.58212,26.1145896,0.15779606,1063262.452,112.6897426,0.000968013,10.259515,-0.000566838,0.000258127,5.956057108,7853.246055,66.49991444,61.10646729,0.021516892,0.029383403,0.025646825,0.001287794,0.165050549,0.204401826,0.19138266,0.008032167,250.2311635,372.3932069,325.4691382,21.99210412,1420.753267,2005.575523,1700.686343,94.7330341,323.9088977,-1.030254495,0.018623909,-0.642023135,0.003746642,2662.361977,0.042136974,1701.903746,179692.7398,0.195110289,331.8819431,15.33333333,943.7908691,1070146.223,20305.73177,3409.626024,17479.29555,5.955423715,61.23592936,10.2823814,71102.64181
-0.000448398,353.584882,-408.6957831,0.975053669,353.1790915,-412.5502404,0.975053556,149.5823932,8576.232608,0.919274712,56.01810175,-27827.33571,0.985987339,0.358584313,-3258.493773,0.895817005,2500.714672,39.1673033,0.749085509,16060.9604,83.92881257,0.493707223,50.03749193,0.62208603,0.660182279,2200.790605,26.03800445,0.696780267,15168.98215,236.9764123,0.748279128,821910.2498,12821.65904,0.688266134,8.248690205,0.102902165,0.661446282,6.067394546,7986.027116,62.40235748,72.99479103,0.018223594,0.024400983,0.022593298,0.00121228,0.053465383,0.183985845,0.152595809,0.031506244,193.6836264,324.2680714,299.2120313,23.36881761,1742.369883,4723.349183,2062.09736,561.8628384,305.501138,0.956413468,0.018397158,0.983822667,0.01760658,115.0422958,0.98605796,1837.686135,152123.7108,0.167402346,307.0798717,48.83333333,2708.01001,922572.607,16966.32905,2797.596853,16700.47766,6.06475102,72.81051145,9.100151665,71097.48438
0.149660155,267.6465884,-2092.609381,0.978633766,413.3516661,-923.3858339,0.973099339,138.809143,8680.643104,0.921510449,52.47510215,32823.19568,0.984619881,0.412539196,-4039.209079,0.960776727,2857.3672,27.58023221,0.383468606,16717.38429,55.32880205,0.273365985,57.89777971,0.514499203,0.494250633,2504.289927,18.8838218,0.498559253,18114.46065,206.9531085,0.480056388,983381.3685,10403.29044,0.433762304,9.146577464,0.06395369,0.362032372,6.3095507,8317.035546,64.96185411,63.28075389,0.017368161,0.024545116,0.022971279,0.001336799,0.062058696,0.192245652,0.168340405,0.029655691,190.8996569,339.5552755,307.4835167,31.59319078,1681.644903,3076.114536,1871.246873,270.6675025,315.1588329,0.91664177,0.018438075,0.984307677,0.018629291,-33.85015772,0.982016253,1783.014234,170180.6741,0.181013831,322.6913465,45.5,2873.320129,1096178.344,20305.63754,3152.117038,17415.6298,6.444102615,71.91755009,9.769947121,71095.60736
0.328105506,73.80106092,-2415.418306,0.978607998,282.8730048,-308.3952496,0.942432273,105.2616018,6403.754301,0.933879445,61.73249279,-114622.1915,0.972958412,0.43632058,-3052.284912,0.97439629,3081.567226,30.39747846,0.502731329,14058.13161,66.40155176,0.46869796,72.7176594,0.494970642,0.308990139,3007.898873,20.80154695,0.290165566,18698.05259,183.8862139,0.502059877,1039655.205,10203.97576,0.394695939,11.98404379,0.081947728,0.310218376,6.06884483,7995.770972,67.36054461,80.19784026,0.023107797,0.030279203,0.024273359,0.001015575,0.089202551,0.244093961,0.216244392,0.030895374,185.8238799,288.6351248,255.7163844,17.69487848,1098.568214,2509.232839,1212.929067,245.4286101,257.9223711,0.934869989,0.017877291,0.954522519,0.015771522,379.1823865,0.973066034,1137.623574,190240.9257,0.228874721,260.2350881,33.83333333,2669.608716,1154035.581,20423.16912,3366.744405,14702.33705,6.066245024,90.93889541,12.93605526,71078.75
0.223461142,141.0450701,-1609.907573,0.952762052,217.1450385,-324.6967129,0.936867496,68.46962127,5739.298043,0.878575883,54.98223124,-20817.26821,0.937594489,0.587361086,-3485.650359,0.904788507,2430.263513,19.54872228,0.323961643,10072.02216,35.66350759,0.41111963,63.2795105,0.477049606,0.392521781,2687.780302,15.71880802,0.348669185,12120.94986,97.32822688,0.324252503,645619.6001,6327.048237,0.424989627,12.68718938,0.09586783,0.392124772,4.988416228,6577.388945,57.58939316,63.2795105,0.017111534,0.026631957,0.023403325,0.001469241,0.087484071,0.276081857,0.238525716,0.039266547,141.5910022,215.2448199,189.8105446,14.83185629,701.2463999,1618.477514,820.0661266,159.8440199,192.3057603,0.924236727,0.018696764,0.928469156,0.017060257,221.8495204,0.937812675,772.2313782,142420.0612,0.251968225,194.5076986,4,271.0876221,710206.0346,13159.96878,2639.024119,10478.16446,4.986703841,67.77190552,13.5905325,71067.61224
0.447540603,34.37426566,-2967.217915,0.942061295,210.4785662,550.2310815,0.891676311,65.9887262,7852.681899,0.925343574,63.82391398,-248911.1535,0.911020585,0.528372649,-3572.934873,0.940284997,2975.510197,18.85351471,0.107768432,12393.61099,17.97565761,0.029086914,68.81371033,0.27535625,0.032118438,3222.370552,33.40599273,0.626912947,17770.80312,112.3052437,0.107650541,885291.0562,5871.166306,0.065800052,11.52268927,0.04639691,0.032426013,5.974139643,7871.525979,62.81845179,68.81371033,0.001916084,0.027682564,0.021508759,0.005433912,0.089244265,0.276929841,0.234523714,0.048668545,201.0908158,907.4578932,285.3827929,129.3608874,861.8442984,6532.972184,1386.332885,1211.614898,253.7271986,0.850108695,0.019364769,0.779009567,0.014289541,857.11673,0.911564453,955.5531468,185699.3414,0.263423815,251.463226,4,333.3382446,1108597.631,20900.70746,3501.01377,13288.45229,5.969953926,83.33456116,13.95916482,71007.06895
0.042556582,193.381089,-593.6369969,0.974607467,210.3367896,-392.4521075,0.973534952,66.69113666,4722.69473,0.855269434,60.25166495,-57383.92532,0.957810048,0.457561258,-2184.4515,0.855321849,2392.137895,23.20281415,0.464106827,10002.13483,27.76007104,0.162609796,79.16254483,0.58900563,0.380695495,3371.120555,24.54256266,0.354485424,14303.91827,138.5597177,0.463486713,804450.9658,6858.86713,0.299646612,13.23872066,0.09868172,0.381495123,5.979918421,7870.798356,61.26093607,79.16254483,0.022064057,0.026821803,0.023537676,0.000735857,0.093277019,0.272813304,0.236192421,0.037364186,137.4014451,192.2698828,179.015658,11.33898835,649.1602058,1611.537069,779.420005,150.0961699,181.5651803,0.954766611,0.017690357,0.945001998,0.015901025,252.9184019,0.957829065,739.3590926,148961.0818,0.250883384,185.2961237,11.83333333,1004.35083,890647.8671,15725.17581,2630.047862,10493.47875,5.979059915,84.87600357,14.1955493,70999.32813
0.069378989,155.4924143,-791.4680487,0.937220827,156.1399313,-327.9450487,0.935068062,1.559497519,6680.824281,0.007407736,40.99669837,113489.7321,0.913968588,0.192909691,464.5175345,0.016767983,1777.631874,10.20562519,0.454229247,6806.886336,-3.448506074,0.115102599,80.83504727,0.366309706,0.42638689,3483.734906,12.84569414,0.362423668,10655.67392,61.07561289,0.454242625,550337.1816,2177.65973,0.314026112,13.48519181,0.06124419,0.426491525,5.994533693,7883.603135,58.25237003,80.83504727,0.021373774,0.024247088,0.023178515,0.000582218,0.130280814,0.295549995,0.261176971,0.032817766,110.2702867,140.8542172,131.4532944,5.670430152,458.1254142,846.4046521,511.7400781,71.07722744,132.0635134,0.912611096,0.01939221,0.898326366,0.022290861,-268.8755902,0.914309344,482.3180036,95795.60829,0.277494604,133.7870315,11.83333333,999.8310181,574165.2944,11300.38323,1885.396026,6796.388728,5.993650929,84.48599058,14.09592048,70987.25
0.116738389,56.66014198,-684.0854394,0.960859804,66.58093785,126.2548999,0.928792972,15.42529114,7039.719039,0.437444103,117.9462433,-70615.38779,0.966666821,0.377681418,-2117.180137,0.551486793,856.5502439,6.736092116,0.692980244,7873.647584,5.31200181,0.111464704,54.06241846,0.600901489,0.775839114,2279.627521,23.23793195,0.736978258,4220.387577,40.3317718,0.693329216,427163.472,4876.266802,0.704252513,10.96853495,0.10341638,0.779586623,4.903541322,6445.504889,53.18613629,54.06241846,0.020398556,0.026155918,0.023686791,0.001021617,0.068484517,0.123305167,0.108548143,0.013212591,71.1093395,85.36843486,78.36032879,3.385753773,576.6939158,1058.748792,735.4200101,115.9108825,77.82458303,0.901676957,0.009817538,0.927360717,0.007800867,180.9548508,0.954468634,683.783972,94323.55633,0.114658044,78.08514199,6.166666667,354.0637207,472592.2099,4598.573243,917.8190012,8005.771116,5.010329197,59.04000081,11.78364866,70825.75781
