"T(P,V/N)-b1","T(P,V/N)-b2","T(P,V/N)-a","T(P,V/N)-R2",T(V/N)-b,T(V/N)-a,T(V/N)-R2,P(V)-slope,P(V)-a,P(V)-R2,Wp(WT)-slope,Wp(WT)-a,Wp(WT)-R2,T(P)-slope,T(P)-a,T(P)-R2,T-m,T-slope,T-R2,P-m,P-slope,P-R2,V-m,V-slope,V-R2,Vs-m,Vs-slope,Vs-R2,TN-m,TN-slope,TN-R2,PV-m,PV-slope,PV-R2,V/N-m,V/N-slope,V/N-R2,N-m,Ns-m,I-m,V0-m,V/Vs-min,V/Vs-max,V/Vs-m,V/Vs-std,T/P-min,T/P-max,T/P-m,T/P-std,Tpi-min,Tpi-max,Tpi-m,Tpi-std,Fpi-min,Fpi-max,Fpi-m,Fpi-std,Tpi-slope,Tpi-R2:1-sse/sst,WT/WP-slope,WT/WP-R2:1-sse/sst,T(P*V/N)-slope,T(P*V/N)-a,T(P*V/N)-R2,Fpi,P*V/N,T/P,Tpi,dt,dz,workP,workT,Total T,Total F,RPM,Pr,p,Chainage
0.273056464,64.31758022,-1518.521883,0.909610434,121.2558819,689.2226546,0.767695322,45.10377994,8085.112794,0.542447873,83.92031898,-220960.6788,0.871088887,0.440838105,-2484.69187,0.811108262,2303.116179,14.84078187,0.532722628,10860.69466,34.11998735,0.674659641,61.53767761,0.321095126,0.224079591,2686.060517,5.042431463,0.185566355,10648.48657,68.36256952,0.532132713,672663.711,5191.743291,0.379610175,13.30981639,0.069743582,0.225326781,4.623859236,6094.845981,58.16942801,61.53767761,0.011359388,0.025333554,0.02274793,0.002963205,0.140273239,0.233676678,0.21125668,0.019797268,139.5232384,291.6656722,176.2482129,23.81577563,698.4095737,2074.482404,853.3053252,244.7338979,171.7573496,0.631150654,0.015657847,0.638516084,0.010401165,789.8374636,0.871602667,795.7521936,155118.1569,0.219389883,174.4979338,4,258.372998,717029.4006,11252.63236,2434.331407,11101.42604,4.622483031,64.59324951,13.97370568,71129.65137
0.342743264,151.5295776,-4216.190487,0.945958884,350.9732348,-379.6976142,0.889660574,97.41690797,11191.49633,0.835204935,49.42253777,52395.25901,0.926353336,0.560477958,-6445.637524,0.918786281,2557.183731,19.77001723,0.461760083,16062.75703,25.22237668,0.256966719,50.00426307,0.278229595,0.355293401,2206.240646,7.041276308,0.274905667,15281.11003,118.436444,0.46455452,807626.4969,5291.750979,0.351715376,8.3678214,0.046406477,0.352276078,5.975990619,7869.995619,61.56817819,71.8306558,0.0167967,0.024826303,0.022555096,0.00164295,0.070717527,0.176621261,0.15828012,0.022147223,235.3964134,349.733316,304.177356,21.39156747,1724.928046,3517.520202,1961.253493,322.1010113,306.4075912,0.875055559,0.018916612,0.926272348,0.018739304,24.54625168,0.926393655,1868.735517,143282.4176,0.167309462,312.5851726,11.83333333,619.749707,856311.9919,16351.25457,2735.96697,16353.87078,5.976401719,52.36922514,8.762669055,71103.64046
-0.005075653,388.9176343,-581.8380773,0.975174427,384.2474672,-629.3580152,0.9751684,154.3583692,9331.24807,0.960275672,56.92634949,-8990.091827,0.986592105,0.400634557,-4241.545583,0.935053855,2782.494472,18.29342211,0.347083475,17532.28704,38.75324051,0.26737467,53.12986275,0.25297354,0.282695468,2285.719864,10.21329433,0.258367871,16648.79281,109.1332366,0.346924251,938764.9063,5786.619286,0.296948664,8.879310285,0.042471727,0.283260668,5.98412844,7882.71953,63.01463261,74.79365816,0.020994252,0.02391234,0.023223395,0.000513797,0.065944433,0.172760233,0.157539754,0.019863006,251.0241113,329.2047037,311.4462645,16.58243424,1845.867592,3806.600519,2009.486186,287.7941739,314.5408156,0.942535899,0.017724305,0.98607054,0.017335223,62.68739538,0.986668612,1925.934893,166730.7926,0.165190237,318.1198409,29.66666667,1656.990381,997419.0163,17705.23954,2959.648749,17917.05577,5.982216069,75.41200156,9.305040296,71100.95313
-0.012561151,365.8372899,-275.5449717,0.990886657,355.1202537,-395.3620692,0.990802591,140.8295872,9521.256974,0.915276916,55.23608645,-10824.81931,0.992290047,0.379685004,-3772.266402,0.901275764,2392.990532,36.49661445,0.64103336,16237.82049,68.89231951,0.36534762,47.69284387,0.613456262,0.627721754,1827.68641,28.16540633,0.640394316,14534.61207,221.1736627,0.640367733,792010.2694,11776.19269,0.590425709,7.85185461,0.101296412,0.628531936,6.075527503,7998.963452,60.38992303,47.69284387,0.024640648,0.040826888,0.027033266,0.003697737,0.050113498,0.17128996,0.144281213,0.033070858,210.4558921,319.6596366,299.3798714,24.95300481,1812.079912,4199.58496,2203.39192,591.1953413,307.3991082,0.971923988,0.018323549,0.991862814,0.017967939,50.01388314,0.99232799,1962.813758,147086.6685,0.158960264,310.9627071,52.33333333,2778.162024,893185.9399,16375.82694,2696.71592,16962.91327,6.072615597,52.64849137,8.669957676,71099.27387
0.278595855,181.5138153,-2674.803147,0.972635268,298.79423,-73.91787351,0.949933324,64.16192618,9325.475593,0.865830845,50.8938431,-60595.98191,0.963927692,0.651873806,-5904.326414,0.925558686,3055.408744,34.2839039,0.468540509,13744.58534,37.10196757,0.251932148,68.87433105,0.751694084,0.491692636,3018.383845,32.01439883,0.571066359,20092.80653,224.9264026,0.468191485,962004.1612,11459.17958,0.452234459,10.47318289,0.114606179,0.492078019,6.577787951,8668.388749,64.93775906,68.87433105,0.014790347,0.02580951,0.022642356,0.00168682,0.063437285,0.254399854,0.219059306,0.044610905,250.41085,329.1273188,290.0857999,17.43059103,1052.943974,4180.769031,1423.379148,538.3650702,292.0768243,0.949428871,0.020767024,0.954371641,0.018945811,283.8341853,0.964046324,1238.692082,162955.8337,0.238493082,295.2483241,6,452.7313477,1071377.898,22237.49697,3382.298983,14185.10396,6.574680759,75.53481445,11.48877902,71082.92853
0.24269403,140.3402865,-1927.920414,0.975610756,178.3187743,861.5125581,0.654827971,41.96711863,10243.31675,0.185392977,59.86312207,-125957.4747,0.887492022,0.318698845,-1293.648469,0.604385293,2954.808869,16.30746654,0.261765817,13330.633,-1.824972686,0.000550934,73.56512308,0.643536095,0.65081549,3072.814979,30.91326554,0.71275469,18578.85903,63.00828375,0.098502201,986231.0315,7647.689685,0.359382464,11.73906852,0.128047145,0.783694246,6.29642113,8293.009403,66.301139,102.0188184,0.022842512,0.026942519,0.024038764,0.000791214,0.124840573,0.246763802,0.220788509,0.026972543,219.3256674,292.9221965,253.9065545,25.71621319,911.4762849,1990.326561,1177.683966,247.6211769,249.4581065,0.54731253,0.018703124,0.824658236,0.014262562,713.147556,0.912972997,1072.49145,167767.1085,0.232247185,247.7502555,34.16666667,2693.714954,1046947.331,19360.92815,3098.688872,13377.50396,6.242970348,78.4394268,12.59650929,71080.43384
0.416901625,121.2989942,-4064.375946,0.608977597,155.9681028,1219.845682,0.379596927,13.57166287,12679.24929,0.074580691,43.31395604,303986.7036,0.503034063,0.527155511,-3846.183078,0.396735435,3467.151561,10.72540211,0.458319176,13873.20152,3.678603539,0.037764465,87.97390869,0.15203958,0.159320044,3666.512992,-0.000256729,0.000572968,21168.76907,65.13941544,0.457903241,1220889.836,2377.701071,0.163584519,14.40875306,0.025147024,0.161459257,6.105670047,8054.113811,71.51544521,87.97390869,0.019995501,0.026308121,0.023993899,0.001514561,0.198709571,0.276776074,0.249801687,0.0145084,212.122609,270.540089,240.9379302,14.20622503,871.7299673,1100.240368,966.3523944,59.64415907,240.2968501,0.268191781,0.017311293,0.381376979,0.011670322,1133.514748,0.506084316,960.5331736,203243.3128,0.255946441,245.6167377,3.666666667,327.0174805,1240749.267,21794.32657,3570.079559,13952.89485,6.104735804,88.9385376,14.56876265,71058.42448
0.242800704,113.1306311,-1684.122469,0.979736305,220.6802696,136.2662122,0.950791836,77.27494072,7484.887956,0.886081571,68.10518441,-210396.4706,0.964633977,0.469185015,-3240.232898,0.951348408,2560.610843,23.98836754,0.52805749,12363.65945,55.92967874,0.664221819,63.13523438,0.593104097,0.503377725,2633.521734,23.79242453,0.507909278,14715.83767,137.3519678,0.527182943,791828.3679,10016.81272,0.58311323,10.98577882,0.103582748,0.504308443,5.747895381,7569.261626,60.88232274,91.61043274,0.021872983,0.029514272,0.023974191,0.001325705,0.116942209,0.226770107,0.205113934,0.026922783,193.118578,249.6732297,233.4649803,8.440095881,851.6050909,2053.665333,1165.30138,217.328047,232.6449038,0.947894391,0.018345636,0.875744248,0.014177676,607.1115331,0.964772398,1074.829674,154598.957,0.217731862,233.753736,3.833333333,264.5463867,888305.7612,16098.88561,2801.817086,12872.33532,5.745881755,69.02742513,12.0134034,71056.47087
0.277705708,138.8216837,-1917.995985,0.971989478,252.097112,-232.8658702,0.953192199,74.64468898,6043.17361,0.910625502,60.26456755,-184845.4774,0.96068065,0.587756637,-3632.952779,0.946269842,3163.990543,24.8351437,0.663077597,11564.21365,39.69451387,0.618403672,73.96427148,0.517781875,0.643817518,3029.89754,23.75949393,0.685290343,17367.70536,135.6554442,0.662106386,861811.7753,8487.253573,0.685555518,13.47439638,0.094858402,0.644967559,5.489797035,7243.647458,63.40986092,73.96427148,0.022138555,0.026110338,0.02446956,0.000820724,0.168864546,0.29737471,0.272157813,0.025183751,206.8609143,253.0404973,234.3391145,8.422209728,778.2345094,1225.010925,868.006425,80.50670635,235.0872078,0.948783168,0.020032025,0.895546587,0.015959353,658.278273,0.960942406,834.8509442,168329.3256,0.283202143,236.3533838,6.666666667,517.7748535,923773.7521,18411.14599,3354.852033,11844.78609,5.487967427,77.93938802,14.2019707,71020.11902
0.306125605,157.7621277,-2733.797192,0.963309215,248.1496995,-62.87356578,0.875902609,49.06242491,8717.264326,0.57000911,52.62296396,-31463.38537,0.937267674,0.611073026,-4587.688276,0.811337207,2893.244614,25.81664679,0.487079976,12242.28949,19.35291724,0.125973247,71.8477567,0.680919662,0.65855707,3130.365722,24.81524528,0.655640655,17449.37424,155.3008695,0.486900041,886774.4062,9028.652068,0.556994489,11.91264058,0.113212984,0.658513639,6.03197989,7950.400863,65.80570802,71.8477567,0.01811075,0.025729909,0.022873257,0.00182722,0.099888954,0.271571143,0.234427542,0.036134531,188.0677935,290.7933173,241.8569588,19.42251871,841.7249776,1882.768672,1058.343642,187.934606,243.0183764,0.875517381,0.019607718,0.927360255,0.017817767,273.4128441,0.937525065,989.4538422,158536.084,0.24902001,245.6612991,6.5,500.6503906,955952.8288,18748.38485,3109.251593,12492.90413,6.029895547,76.58872942,12.70152312,71001.3714
